都市,区名,平均地価,予測値,残差,zscore
東京都,千代田区,6914576,1024908.5668766393,5889667.43312336,4.2228161650392515
東京都,中央区,10034603,6701916.156533136,3332686.843466864,2.335724605969297
東京都,港区,5518395,4483742.955266339,1034652.0447336612,0.6397390796493547
東京都,新宿区,4331090,3160462.956337861,1170627.0436621392,0.7400907498029979
東京都,文京区,1895320,525872.628542737,1369447.371457263,0.8868232529246203
東京都,台東区,2377924,1125985.4381207163,1251938.5618792837,0.8000999185481349
東京都,墨田区,933208,106025.2270362993,827182.7729637007,0.48662352096766814
東京都,江東区,897425,1046842.151506263,-149417.15150626295,-0.23412245634270412
東京都,品川区,1814525,1823688.3381998595,-9163.338199859485,-0.13061295443700402
東京都,目黒区,1841734,1203624.6080766353,638109.3919233647,0.34708441658441297
東京都,大田区,849697,448981.7751138598,400715.2248861402,0.1718838184255622
東京都,世田谷区,905808,2253069.5781181124,-1347261.5781181124,-1.118150327215935
東京都,渋谷区,6097793,2372553.9224147275,3725239.0775852725,2.625434277796887
東京都,中野区,1371980,800529.3151040584,571450.6848959416,0.2978892510525284
東京都,杉並区,930151,1593896.9792403271,-663745.9792403271,-0.6137051537356809
東京都,豊島区,2206666,1697444.1879791464,509221.8120208536,0.2519633722218285
東京都,北区,1067333,972964.5312859953,94368.46871400473,-0.054204866040580196
東京都,荒川区,984892,383417.8904183367,601474.1095816633,0.32004700677738085
東京都,板橋区,668159,245296.71353906358,422862.2864609364,0.18822869531866954
東京都,練馬区,567453,723861.9479679813,-156408.94796798134,-0.23928251118982224
東京都,足立区,535222,1284978.0584196653,-749756.0584196653,-0.6771819337592915
東京都,葛飾区,487841,-851611.4336137705,1339452.4336137706,0.8646865209336722
東京都,江戸川区,5514707,-1160837.8324655406,6675544.832465541,4.802805943906405
横浜市,鶴見区,400954,749178.3465518717,-348224.34655187174,-0.38084526729033913
横浜市,神奈川区,546972,528968.8773076977,18003.122692302335,-0.11056368255485431
横浜市,西区,1883444,1008595.667997788,874848.332002212,0.5218014470277205
横浜市,中区,847642,3763332.403150479,-2915690.403150479,-2.2756752645163774
横浜市,南区,320666,1751545.2290710704,-1430879.2290710704,-1.179861457891269
横浜市,保土ケ谷区,255343,484836.54401169694,-229493.54401169694,-0.2932200830470497
横浜市,磯子区,249407,470785.55315739464,-221378.55315739464,-0.2872310932185657
横浜市,金沢区,227210,513532.1478155276,-286322.1478155276,-0.3351604790695108
横浜市,港北区,471524,712518.6497831736,-240994.64978317358,-0.301708078501188
横浜市,戸塚区,282851,790214.475455542,-507363.475455542,-0.4982924266808627
横浜市,港南区,306780,-261509.66894556565,568289.6689455656,0.29555637197547546
横浜市,旭区,247416,252449.9112416777,-5033.911241677706,-0.12756537293087003
横浜市,緑区,262545,736376.0074461779,-473831.0074461779,-0.4735449422489394
横浜市,瀬谷区,217703,462978.73935014853,-245275.73935014853,-0.30486758937825187
横浜市,栄区,193284,224259.11453489354,-30975.11453489354,-0.14671038559337196
横浜市,泉区,229258,49346.200251480914,179911.7997485191,0.0089274465717909
横浜市,青葉区,381259,505180.36589655105,-123921.36589655105,-0.21530616887827408
横浜市,都筑区,354882,581349.3800346036,-226467.38003460364,-0.29098672682970683
名古屋市,千種区,467354,-218544.08232062194,685898.0823206219,0.3823532155078285
名古屋市,東区,911576,194312.15827458806,717263.8417254119,0.40550163519315346
名古屋市,北区,217645,-141213.80476946838,358858.8047694684,0.14099312750104942
名古屋市,西区,317552,366310.79147172545,-48758.791471725446,-0.15983501656338292
名古屋市,中村区,2220673,738312.2020099724,1482360.7979900276,0.9701551229347365
名古屋市,中区,2044744,1780286.6433989904,264457.3566010096,0.0713233862744998
名古屋市,昭和区,359727,466075.52577951533,-106348.52577951533,-0.2023371387699153
名古屋市,瑞穂区,292560,295544.5229642834,-2984.5229642834165,-0.12605289241569834
名古屋市,熱田区,425291,339843.1989053942,85447.80109460582,-0.06078845788868955
名古屋市,中川区,164540,464951.9223140718,-300411.9223140718,-0.34555895242240153
名古屋市,港区,116527,1785403.2728069741,-1668876.2728069741,-1.355506988457444
名古屋市,南区,160781,191496.51528634375,-30715.515286343754,-0.14651879729870093
名古屋市,守山区,142204,395380.30977472366,-253176.30977472366,-0.3106983335850573
名古屋市,緑区,170270,327826.4898629333,-157556.4898629333,-0.24012941500770923
名古屋市,名東区,257741,-64628.09903100692,322369.0990310069,0.11406315549791911
名古屋市,天白区,196600,221804.92592987645,-25204.925929876452,-0.1424518963991962
大阪市,都島区,480100,700439.4649050612,-220339.46490506118,-0.2864642298805962
大阪市,福島区,919200,509218.8037243114,409981.1962756886,0.1787222498421063
大阪市,此花区,244555,649124.8822429305,-404569.8822429305,-0.4224291515106554
大阪市,西区,1771285,1406829.2573266183,364455.7426733817,0.14512375497543803
大阪市,港区,305857,362102.0793830662,-56245.079383066215,-0.16536001381342325
大阪市,大正区,200750,560963.6629235637,-360213.66292356374,-0.3896935697825683
大阪市,天王寺区,834272,434995.25270585483,399276.74729414517,0.17082219952522873
大阪市,浪速区,831833,665945.3529822533,165887.6470177467,-0.0014225968929127972
大阪市,西淀川区,196571,567677.8640528598,-371106.86405285983,-0.39773292212865224
大阪市,東淀川区,295560,103476.9301791414,192083.0698208586,0.01791003373322031
大阪市,東成区,335000,704042.5526311896,-369042.5526311896,-0.39620942810023296
大阪市,生野区,205133,860908.8782129694,-655775.8782129694,-0.6078230948594804
大阪市,旭区,273769,299391.5742831328,-25622.574283132795,-0.14276012739839802
大阪市,城東区,321888,711343.455791393,-389455.45579139295,-0.4112744690338863
大阪市,阿倍野区,770250,833890.178187274,-63640.178187274025,-0.17081771208002744
大阪市,住吉区,314952,1343560.2889637067,-1028608.2889637067,-0.8829792294509969
大阪市,東住吉区,265794,-53164.406740457576,318958.4067404576,0.11154601138735498
大阪市,西成区,224928,1092259.1785012302,-867331.1785012302,-0.7639542063217375
大阪市,淀川区,501428,835511.9183239551,-334083.91832395515,-0.3704094106950724
大阪市,鶴見区,286333,596319.3259886076,-309986.3259886076,-0.35262501167620763
大阪市,住之江区,222133,388862.58747277013,-166729.58747277013,-0.24689930412617664
大阪市,平野区,199083,520866.7664370814,-321783.7664370814,-0.36133170674421206
大阪市,北区,3980764,1463347.705149971,2517416.294850029,1.7340422244617235
大阪市,中央区,4393844,5484645.673270464,-1090801.673270464,-0.9288789171647164
福岡市,東区,209798,116614.89027905569,93183.10972094431,-0.055079679466744094
福岡市,博多区,1343813,1271989.3287112114,71823.67128878855,-0.07084327819519998
福岡市,中央区,1652265,5338583.647271535,-3686318.6472715354,-2.844410928973302
福岡市,南区,324683,613283.2381536331,-288600.2381536331,-0.33684174527279287
福岡市,西区,201293,914441.0893583569,-713148.0893583569,-0.6501646815792232
福岡市,城南区,228463,251876.8435227964,-23413.843522796407,-0.14113004964538353
福岡市,早良区,349056,824275.1368169489,-475219.1368169489,-0.4745694033766756
