東京都,区,平均地価,コンビニ数,スーパー数,ドラッグストア数,病院数,駅数,公園数,学校数
東京都,千代田区,6914576,249,39,13,28,53,48,106
東京都,中央区,10034603,1631,430,159,102,186,1387,31
東京都,港区,5518395,446,105,52,169,60,325,91
東京都,新宿区,4331090,356,91,37,145,41,140,148
東京都,文京区,1895320,125,51,10,60,20,90,123
東京都,台東区,2377924,207,83,25,50,23,81,50
東京都,墨田区,933208,145,52,11,10,16,130,63
東京都,江東区,897425,255,64,16,48,33,265,103
東京都,品川区,1814525,224,74,18,93,35,200,87
東京都,目黒区,1841734,107,52,12,73,10,102,62
東京都,大田区,849697,0,137,41,159,45,231,129
東京都,世田谷区,905808,351,148,73,164,40,350,200
東京都,渋谷区,6097793,254,51,26,99,27,127,110
東京都,中野区,1371980,149,61,20,54,14,153,80
東京都,杉並区,930151,237,97,38,105,19,341,115
東京都,豊島区,2206666,231,71,17,92,31,135,115
東京都,北区,1067333,956,400,0,97,136,1737,102
東京都,荒川区,984892,91,56,5,42,28,158,52
東京都,板橋区,668159,213,116,8,67,23,322,117
東京都,練馬区,567453,238,0,16,16,19,554,132
東京都,足立区,535222,284,122,6,113,27,603,131
東京都,葛飾区,487841,184,93,9,1,12,352,98
東京都,江戸川区,5514707,250,118,7,0,11,421,137
横浜市,鶴見区,400954,121,38,5,40,16,234,54
横浜市,神奈川区,546972,93,33,6,35,15,155,60
横浜市,西区,1883444,634,211,56,30,91,1582,29
横浜市,中区,847642,470,0,0,51,42,547,42
横浜市,南区,320666,649,252,36,92,59,1489,43
横浜市,保土ケ谷区,255343,0,0,0,28,0,0,40
横浜市,磯子区,249407,58,32,4,29,7,136,28
横浜市,金沢区,227210,53,18,2,36,18,272,45
横浜市,港北区,471524,138,57,4,47,19,184,61
横浜市,戸塚区,282851,88,29,1,48,4,248,56
横浜市,港南区,306780,60,31,0,0,9,192,39
横浜市,旭区,247416,93,47,7,31,10,288,50
横浜市,緑区,262545,293,120,29,45,27,755,38
横浜市,瀬谷区,217703,46,13,6,16,2,104,23
横浜市,栄区,193284,31,13,1,13,2,131,27
横浜市,泉区,229258,134,73,6,22,12,468,27
横浜市,青葉区,381259,288,127,25,43,36,610,53
横浜市,都筑区,354882,75,37,13,37,10,164,41
名古屋市,千種区,467354,59,20,4,0,13,106,59
名古屋市,東区,911576,487,161,70,0,67,1382,40
名古屋市,北区,217645,956,400,100,0,136,1737,38
名古屋市,西区,317552,211,56,0,91,1582,46,20
名古屋市,中村区,2220673,104,17,18,28,19,69,65
名古屋市,中区,2044744,470,125,44,34,42,547,45
名古屋市,昭和区,359727,46,9,1,18,7,30,37
名古屋市,瑞穂区,292560,25,7,2,15,9,42,35
名古屋市,熱田区,425291,36,11,3,13,7,56,27
名古屋市,中川区,164540,89,21,20,17,11,201,43
名古屋市,港区,116527,446,105,52,17,60,325,35
名古屋市,南区,160781,649,252,36,13,59,1489,32
名古屋市,守山区,142204,47,17,8,21,6,83,39
名古屋市,緑区,170270,293,120,29,28,27,755,44
名古屋市,名東区,257741,38,16,6,0,5,121,32
名古屋市,天白区,196600,36,15,5,16,6,159,34
大阪市,都島区,480100,54,19,0,28,8,52,22
大阪市,福島区,919200,38,12,0,18,9,31,20
大阪市,此花区,244555,41,12,7,21,8,51,15
大阪市,西区,1771285,634,211,56,49,91,1582,29
大阪市,港区,305857,0,0,52,19,60,325,18
大阪市,大正区,200750,35,9,1,18,2,32,18
大阪市,天王寺区,834272,51,13,5,26,9,26,59
大阪市,浪速区,831833,71,20,4,21,13,38,23
大阪市,西淀川区,196571,44,22,1,27,5,76,21
大阪市,東淀川区,295560,89,24,4,0,10,105,40
大阪市,東成区,335000,39,14,1,27,6,28,18
大阪市,生野区,205133,50,26,8,45,5,62,33
大阪市,旭区,273769,93,47,0,14,10,0,24
大阪市,城東区,321888,58,26,4,36,9,69,32
大阪市,阿倍野区,770250,50,14,4,39,11,30,41
大阪市,住吉区,314952,47,14,4,65,12,61,40
大阪市,東住吉区,265794,40,19,2,0,7,52,31
大阪市,西成区,224928,55,21,3,47,0,75,21
大阪市,淀川区,501428,122,0,12,9,13,74,48
大阪市,鶴見区,286333,121,38,5,19,16,234,21
大阪市,住之江区,222133,40,12,1,18,13,58,33
大阪市,平野区,199083,0,25,4,51,7,66,46
大阪市,北区,3980764,956,400,100,94,136,1737,80
大阪市,中央区,4393844,1631,430,159,46,186,1387,36
福岡市,東区,209798,487,161,70,10,67,1382,73
福岡市,博多区,1343813,195,40,11,49,17,93,85
福岡市,中央区,1652265,1631,430,159,49,186,1387,60
福岡市,南区,324683,649,252,36,46,59,1489,63
福岡市,西区,201293,634,211,56,28,91,1582,35
福岡市,城南区,228463,35,14,3,0,6,60,0
福岡市,早良区,349056,80,35,11,28,6,145,0